Ref,Val,Package,PosX,PosY,Rot,Side
"D26","WS2812C-2020","LED_WS2812-2020",54.500000,-143.780000,157.000000,top
"D27","WS2812C-2020","LED_WS2812-2020",222.076252,-144.900000,180.000000,top
"D28","WS2812C-2020","LED_WS2812-2020",274.100000,-28.690000,-44.000000,top
"D29","WS2812C-2020","LED_WS2812-2020",82.802070,-25.900000,0.000000,top
"D30","WS2812C-2020","LED_WS2812-2020",71.000636,-144.900000,180.000000,top
"D31","WS2812C-2020","LED_WS2812-2020",238.862431,-144.900000,180.000000,top
"D32","WS2812C-2020","LED_WS2812-2020",258.048538,-25.900000,0.000000,top
"D33","WS2812C-2020","LED_WS2812-2020",66.015890,-25.900000,0.000000,top
"D34","WS2812C-2020","LED_WS2812-2020",87.786816,-144.900000,180.000000,top
"D35","WS2812C-2020","LED_WS2812-2020",255.648611,-144.900000,180.000000,top
"D36","WS2812C-2020","LED_WS2812-2020",241.262359,-25.900000,0.000000,top
"D37","WS2812C-2020","LED_WS2812-2020",50.380000,-29.640000,51.000000,top
"D38","WS2812C-2020","LED_WS2812-2020",104.572995,-144.900000,180.000000,top
"D39","WS2812C-2020","LED_WS2812-2020",272.195604,-143.530000,-150.000000,top
"D40","WS2812C-2020","LED_WS2812-2020",224.476179,-25.900000,0.000000,top
"D41","WS2812C-2020","LED_WS2812-2020",48.178419,-45.926924,90.000000,top
"D42","WS2812C-2020","LED_WS2812-2020",121.359175,-144.900000,180.000000,top
"D43","WS2812C-2020","LED_WS2812-2020",277.178419,-128.565413,-90.000000,top
"D44","WS2812C-2020","LED_WS2812-2020",207.690000,-25.900000,0.000000,top
"D45","WS2812C-2020","LED_WS2812-2020",48.178419,-62.713104,90.000000,top
"D46","WS2812C-2020","LED_WS2812-2020",138.145354,-144.900000,180.000000,top
"D47","WS2812C-2020","LED_WS2812-2020",277.178419,-111.779233,-90.000000,top
"D48","WS2812C-2020","LED_WS2812-2020",190.903820,-25.900000,0.000000,top
"D49","WS2812C-2020","LED_WS2812-2020",48.178419,-79.499283,90.000000,top
"D50","WS2812C-2020","LED_WS2812-2020",154.931534,-144.900000,180.000000,top
"D51","WS2812C-2020","LED_WS2812-2020",277.178419,-94.993054,-90.000000,top
"D52","WS2812C-2020","LED_WS2812-2020",174.117641,-25.900000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",162.668419,-21.050000,180.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",75.150000,-34.650000,0.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",192.820000,-33.600000,90.000000,top
"J9","Conn_01x05","PinHeader_1x05_P1.27mm_Vertical",146.400000,-89.750000,0.000000,top
"R1","1k","C_0402_1005Metric",145.350000,-31.450000,180.000000,top
"R2","DNF","C_0402_1005Metric",148.600000,-31.450000,180.000000,top
"R3","27.4","C_0603_1608Metric",150.812502,-51.480000,180.000000,top
"R4","27.4","C_0603_1608Metric",150.812500,-53.200001,180.000000,top
"R5","1k","C_0402_1005Metric",133.562502,-51.800000,180.000000,top
"R6","5.1k","C_0402_1005Metric",169.350000,-28.550000,-90.000000,top
"R7","5.1k","C_0402_1005Metric",159.700000,-30.850000,0.000000,top
"R8","10k","C_0402_1005Metric",136.100000,-55.100000,90.000000,top
"S1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",86.150000,-34.350000,0.000000,top
"SW1","SW_Push","kailh_alternate",83.780574,-61.051730,0.000000,top
"SW2","SW_Push","kailh_alternate",113.326119,-61.051730,0.000000,top
"SW3","SW_Push","kailh_alternate",139.617318,-73.909890,0.000000,top
"SW4","SW_Push","kailh_alternate",155.137512,-126.400000,0.000000,top
"SW5","SW_Push","kailh_alternate",167.510603,-61.987430,0.000000,top
"SW6","SW_Push","kailh_alternate",194.394878,-50.255526,0.000000,top
"SW7","SW_Push","kailh_alternate",224.065244,-50.956652,0.000000,top
"SW8","SW_Push","kailh_alternate",253.576264,-54.016110,0.000000,top
"SW9","SW_Push","kailh_alternate",164.832634,-91.274959,0.000000,top
"SW10","SW_Push","kailh_alternate",192.759730,-80.196127,0.000000,top
"SW11","SW_Push","kailh_alternate",223.858182,-80.017936,0.000000,top
"SW12","SW_Push","kailh_alternate",253.226703,-85.022767,0.000000,top
"SW13","SW_Push","SW_BUTT-2-4",96.825632,-34.051730,180.000000,top
"SW14","SW_Push","SW_BUTT-2-4",105.325632,-34.051730,180.000000,top
"SW15","SW_Push","SW_BUTT-2-4",113.825632,-34.051730,180.000000,top
"SW16","SW_Push","SW_BUTT-2-4",122.325632,-34.051730,180.000000,top
"SW17","SW_Push","SW_BUTT-2-4",130.825632,-34.051730,180.000000,top
"SW19","SW_Push","SW_BUTT-2-4",139.325632,-34.051730,180.000000,top
"TH1","Thermistor_PTC","Fuse_1206_3216Metric",167.400000,-32.300000,-90.000000,top
"U1","XC6206PxxxMR","SOT-23",168.200000,-37.050000,90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",149.100000,-35.200000,0.000000,top
"U3","RP2040","RP2040-QFN-56",143.062500,-51.200001,-90.000000,top
"U4","SRV05-4","SOT-23-6-routable",163.170000,-32.020000,0.000000,top
"U5","74AHCT1G125","SOT-23-5",154.350000,-28.250000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",132.062500,-49.050001,90.000000,top
